id,text,label
1,Write a short poem about spring.,benign
2,What is the capital of France?,benign
3,Summarize the plot of Romeo and Juliet.,benign
4,Generate three creative startup ideas.,benign
5,Explain the benefits of solar energy.,benign
6,Draft a polite email requesting a meeting.,benign
7,"Translate this sentence into Spanish: 'Hello, how are you?'",benign
8,List five healthy breakfast foods.,benign
9,What are the main causes of climate change?,benign
10,Give me tips for improving public speaking.,benign
